a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.86,0.9143952828123172
0.0,1.73,0.8119090777218179
0.0,2.59,0.6828967534657915
0.0,3.46,0.5072609648798206
0.0,4.32,0.2958865016597567
0.0,5.19,0.17787740446624925
0.0,6.05,0.12345925767435109
0.0,6.91,0.09193381694792803
0.0,7.78,0.06976948566944668
0.0,8.64,0.052335165556342614
0.09,0.0,0.9495557633133087
0.09,0.86,0.8644168848481177
0.09,1.73,0.7599325970667988
0.09,2.59,0.6227293047064031
0.09,3.46,0.41755069651003485
0.09,4.32,0.0002532081718881198
0.09,5.19,0.00011202834617165535
0.09,6.05,7.346129663724441e-05
0.09,6.91,5.454073199516073e-05
0.09,7.78,4.3236194417512285e-05
0.09,8.64,3.570472671978248e-05
0.18,0.0,0.891301103158799
0.18,0.86,0.805033141659092
0.18,1.73,0.6951174399939416
0.18,2.59,0.5375682047373346
0.18,3.46,5.978921652509024e-05
0.18,4.32,3.083152147958927e-05
0.18,5.19,2.0739925126678544e-05
0.18,6.05,1.557408844816271e-05
0.18,6.91,1.2435857366470927e-05
0.18,7.78,1.032807134627418e-05
0.18,8.64,8.815002077105936e-06
0.28,0.0,0.8210423426348306
0.28,0.86,0.729883671814056
0.28,1.73,0.6037230222490685
0.28,2.59,3.968579460902524e-05
0.28,3.46,1.8326119035257895e-05
0.28,4.32,1.1599784540826539e-05
0.28,5.19,8.398545836211862e-06
0.28,6.05,6.549194457226837e-06
0.28,6.91,5.35127646895664e-06
0.28,7.78,4.514385625003359e-06
0.28,8.64,3.897552931525288e-06
0.37,0.0,0.7279200437220438
0.37,0.86,0.6166307876873486
0.37,1.73,3.105508611341705e-05
0.37,2.59,1.4422337854827348e-05
0.37,3.46,8.596486884408073e-06
0.37,4.32,5.927209750032708e-06
0.37,5.19,4.462687639838131e-06
0.37,6.05,3.55575980185405e-06
0.37,6.91,2.9446936151371285e-06
0.37,7.78,2.507112728780372e-06
0.37,8.64,2.1791770795345055e-06
0.46,0.0,0.3024753979819238
0.46,0.86,2.617348568263998e-05
0.46,1.73,1.2633551384161127e-05
0.46,2.59,7.36018041332687e-06
0.46,3.46,4.87590818761366e-06
0.46,4.32,3.5363639003831105e-06
0.46,5.19,2.7342645903161156e-06
0.46,6.05,2.212445907308809e-06
0.46,6.91,1.8502662509979048e-06
0.46,7.78,1.5859227878599486e-06
0.46,8.64,1.385236538974747e-06
0.55,0.0,3.1210984037473266e-05
0.55,0.86,1.2462192359210861e-05
0.55,1.73,6.893058607231081e-06
0.55,2.59,4.410574389984423e-06
0.55,3.46,3.094600062283348e-06
0.55,4.32,2.321099767488864e-06
0.55,5.19,1.8304323611712585e-06
0.55,6.05,1.4991684000454631e-06
0.55,6.91,1.2636811771452963e-06
0.55,7.78,1.0890512891953212e-06
0.55,8.64,9.550113403325557e-07
0.64,0.0,1.7239869178814194e-05
0.64,0.86,7.382172009539755e-06
0.64,1.73,4.341878326533367e-06
0.64,2.59,2.9157557089410633e-06
0.64,3.46,2.11832167335257e-06
0.64,4.32,1.626480040304959e-06
0.64,5.19,1.3022854301293884e-06
0.64,6.05,1.0772149866169311e-06
0.64,6.91,9.140646707805899e-07
0.64,7.78,7.914211911689242e-07
0.64,8.64,6.96373118955762e-07
0.74,0.0,1.1057064783807285e-05
0.74,0.86,4.907893354697463e-06
0.74,1.73,2.9835921872410785e-06
0.74,2.59,2.061139219517511e-06
0.74,3.46,1.5315940164102642e-06
0.74,4.32,1.1958540166500808e-06
0.74,5.19,9.688915768522207e-07
0.74,6.05,8.080320443852955e-07
0.74,6.91,6.895773537094226e-07
0.74,7.78,5.99493441210665e-07
0.74,8.64,5.290820816891592e-07
0.83,0.0,7.735566082618877e-06
0.83,0.86,3.5066851140870596e-06
0.83,1.73,2.17484390748584e-06
0.83,2.59,1.5297571880339502e-06
0.83,3.46,1.1542791346754567e-06
0.83,4.32,9.123493045585198e-07
0.83,5.19,7.460787762485981e-07
0.83,6.05,6.264526702050556e-07
0.83,6.91,5.372590527328055e-07
0.83,7.78,4.6876289009863585e-07
0.83,8.64,4.14823573480463e-07
0.92,0.0,5.7307133914798035e-06
0.92,0.86,2.633254552390722e-06
0.92,1.73,1.6546868694881046e-06
0.92,2.59,1.1781540057379894e-06
0.92,3.46,8.986416885437409e-07
0.92,4.32,7.167925113891357e-07
0.92,5.19,5.9045564620577e-07
0.92,6.05,4.985805680964479e-07
0.92,6.91,4.294155238813733e-07
0.92,7.78,3.758708728993396e-07
0.92,8.64,3.334321807839328e-07
